City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,65.17,87,100,4.0,light rain
1,Camacha,PT,33.0833,-16.3333,56.62,72,20,4.61,few clouds
2,Hermanus,ZA,-34.4187,19.2345,58.8,68,99,14.0,light rain
3,Najran,SA,17.4924,44.1277,56.05,52,11,6.26,few clouds
4,Pangnirtung,CA,66.1451,-65.7125,5.0,66,100,11.5,light snow
5,Ushuaia,AR,-54.8,-68.3,49.62,57,0,12.66,clear sky
6,Tasiilaq,GL,65.6145,-37.6368,8.76,65,34,6.76,scattered clouds
7,Upernavik,GL,72.7868,-56.1549,-19.97,79,64,9.51,broken clouds
8,Sao Filipe,CV,14.8961,-24.4956,74.84,70,94,7.54,overcast clouds
9,Port-Gentil,GA,-0.7193,8.7815,73.36,100,100,5.75,thunderstorm with light rain
10,Blyth,GB,55.1271,-1.5086,50.07,89,40,20.71,scattered clouds
11,Cap Malheureux,MU,-19.9842,57.6142,77.47,74,25,4.0,light rain
12,Lebu,CL,-37.6167,-73.65,59.94,89,68,18.59,broken clouds
13,East London,ZA,-33.0153,27.9116,66.76,91,100,9.78,light rain
14,Skelleftea,SE,64.7507,20.9528,17.96,100,100,10.36,light snow
15,Tessalit,ML,20.1986,1.0114,61.9,24,47,10.27,scattered clouds
16,Ponnani,IN,10.767,75.9252,70.92,75,1,9.17,clear sky
17,Warrington,GB,53.3925,-2.5802,52.86,82,40,14.97,scattered clouds
18,Cape Town,ZA,-33.9258,18.4232,62.11,73,75,25.32,broken clouds
19,Busselton,AU,-33.65,115.3333,74.05,47,0,15.32,clear sky
20,Buenos Aires,AR,-34.6132,-58.3772,76.89,54,0,14.97,clear sky
21,Menongue,AO,-14.6585,17.691,59.59,96,86,3.67,overcast clouds
22,Jamestown,US,42.097,-79.2353,58.01,67,100,10.36,overcast clouds
23,Husavik,IS,66.0449,-17.3389,23.0,83,100,5.39,overcast clouds
24,Batticaloa,LK,7.7102,81.6924,76.57,83,97,10.07,overcast clouds
25,Muros,ES,42.7762,-9.0603,54.09,92,75,1.34,broken clouds
26,Luderitz,NA,-26.6481,15.1594,63.52,81,0,20.29,clear sky
27,Bonthe,SL,7.5264,-12.505,77.02,77,0,5.53,clear sky
28,Esfarayen,IR,37.0765,57.5101,35.26,32,71,7.34,broken clouds
29,Moose Factory,CA,51.2585,-80.6094,3.18,85,100,3.44,overcast clouds
30,Brae,GB,60.3964,-1.353,43.86,86,100,5.68,light rain
31,Rocha,UY,-34.4833,-54.3333,57.96,69,1,4.92,clear sky
32,Koroni,GR,36.8,21.95,53.08,75,0,5.03,clear sky
33,Ilulissat,GL,69.2167,-51.1,-0.38,46,0,4.61,clear sky
34,Takoradi,GH,4.8845,-1.7554,78.89,78,65,6.11,broken clouds
35,Matay,EG,28.419,30.7792,55.45,73,29,8.39,scattered clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,73.94,68,0,18.01,clear sky
37,Ambilobe,MG,-13.2,49.05,72.73,89,85,2.91,overcast clouds
38,Victoria,HK,22.2855,114.1577,64.26,86,100,5.01,overcast clouds
39,Qaanaaq,GL,77.484,-69.3632,-18.47,87,100,5.84,overcast clouds
40,San Andres,CO,12.5847,-81.7006,78.82,83,20,10.36,few clouds
41,Bonavista,CA,48.6499,-53.1147,35.4,96,100,14.85,light rain
42,Marrakesh,MA,31.6315,-8.0083,55.47,50,0,1.14,clear sky
43,Dikson,RU,73.5069,80.5464,-14.67,97,99,2.48,overcast clouds
44,Urengoy,RU,65.9667,78.3667,-8.37,96,100,13.91,overcast clouds
45,Ribeira Grande,PT,38.5167,-28.7,57.78,86,100,7.0,overcast clouds
46,Sayan,PE,-11.1361,-77.1933,68.63,86,100,3.89,overcast clouds
47,Acarau,BR,-2.8856,-40.12,79.81,79,47,18.63,scattered clouds
48,Abu Samrah,SY,35.3029,37.1841,44.47,53,0,7.0,clear sky
49,Halifax,CA,44.6453,-63.5724,39.22,94,100,8.99,overcast clouds
50,Epe,NG,6.5841,3.9834,72.52,81,92,2.98,overcast clouds
51,Bathsheba,BB,13.2167,-59.5167,77.61,88,40,21.85,light rain
52,Codrington,AU,-38.2667,141.9667,63.7,61,93,12.15,overcast clouds
53,Road Town,VG,18.4167,-64.6167,78.84,83,40,14.97,scattered clouds
54,Real,PH,14.6625,121.6047,76.8,92,99,15.75,moderate rain
55,Bunia,CD,1.5667,30.25,65.19,57,39,4.23,scattered clouds
56,Urdoma,RU,61.7533,48.5442,-11.51,98,98,4.12,overcast clouds
57,Labelle,US,26.7617,-81.4384,77.23,79,97,8.21,overcast clouds
58,Nkowakowa,ZA,-23.8878,30.2871,78.08,49,80,3.04,broken clouds
59,La Macarena,CO,2.1837,-73.7849,78.76,68,91,3.04,overcast clouds
60,Rio Gallegos,AR,-51.6226,-69.2181,55.45,71,100,6.91,light rain
61,Eqbaliyeh,IR,35.3022,51.5358,44.42,41,59,1.88,broken clouds
62,Salamanca,ES,40.8333,-6.0,35.62,60,28,5.75,scattered clouds
63,Bahia Blanca,AR,-38.7196,-62.2724,84.72,37,0,16.11,clear sky
64,Mandiana,GN,10.6333,-8.6833,70.59,19,1,5.28,clear sky
65,Mayumba,GA,-3.432,10.6554,76.26,88,100,3.36,moderate rain
66,Chapais,CA,49.7834,-74.8492,1.18,96,42,6.96,scattered clouds
67,Hithadhoo,MV,-0.6,73.0833,81.0,66,18,10.76,few clouds
68,Sur,OM,22.5667,59.5289,67.98,61,1,2.44,clear sky
69,Mantua,IT,45.1667,10.7833,50.09,91,64,3.0,broken clouds
